trial_number,value,state,datetime_start,datetime_complete,use_percent_margin,margin_percent,margin_usdt,atr_mult_tp1,atr_mult_tp2,atr_mult_sl,trailing_start_atr,trailing_step_atr,breakeven_atr,breakeven_buffer_pts,tp1_pct,tp2_pct
27,-0.7451027894923217,1,2025-10-26T01:01:57.888490,2025-10-26T01:02:01.796591,False,4.126292393114551,14.198145502607078,2.1154407285936685,3.967193832680211,2.2104176725044904,1.9504503629841385,0.9514427656815814,1.3741607250982244,0.4257296410753408,0.5396572110732571,0.4787266087546838
28,-0.6400686752417073,1,2025-10-26T01:02:01.801593,2025-10-26T01:02:05.912189,False,4.973330906236908,5.945739872786856,1.8141336025243542,3.2607517438462037,1.9608640292848967,1.3696619601837166,0.8030358080618399,1.1798168155016293,0.0008762049339713918,0.6320410870319367,0.2573172675343314
29,-1.8334457573331766,1,2025-10-26T01:02:05.918191,2025-10-26T01:02:10.153276,True,3.764981833247007,22.157074747716333,1.571482328814477,4.009630637927335,1.7806191579809127,1.703408323379521,0.8684292140629166,0.893107011889851,0.5641809945070266,0.4869366271114507,0.5493562283586443
30,-1.8029599148395878,1,2025-10-26T01:02:10.157272,2025-10-26T01:02:14.240255,False,2.9292775059640626,18.482652187672105,1.7321533548439716,5.326382235389147,1.3417757615747536,2.1205553930254517,0.9367443759955641,0.5539466623294524,0.681612683457111,0.7615494420760701,0.47535592688084716
31,-0.31128619278208486,1,2025-10-26T01:02:14.245258,2025-10-26T01:02:18.402149,False,2.216127566994615,1.1709164926596367,1.0765138756174624,4.2535026519959365,2.1202566286148747,0.7200829639487596,0.7478991908832567,1.053098771841297,0.5366852914452509,0.7829633943545297,0.3665817268781212
32,-0.10736024602649276,1,2025-10-26T01:02:18.406145,2025-10-26T01:02:22.929485,False,2.518632528073433,4.195998959162717,1.0761592059648981,4.510370553756829,2.090438388984971,1.061474725301878,0.8115038340240264,1.4636904927205678,0.38965249896031867,0.7052355083043844,0.3770388240319871
33,-0.9492639767770582,1,2025-10-26T01:02:22.934485,2025-10-26T01:02:27.161270,False,2.319352424146004,5.194091448888214,0.6376641930063327,4.741333276364535,2.1716105979012905,0.7283605823656731,0.7096523740000134,1.479732402165442,0.283077193788744,0.7036203699871778,0.41933215260461265
34,-1.0639663990994743,1,2025-10-26T01:02:27.171999,2025-10-26T01:02:31.194874,True,3.025984865170402,4.230112160370382,1.1377243028801163,4.6279334825607945,2.327658453077887,1.060939698162519,0.6255188849765572,1.9316077169692942,0.4754128030830487,0.6660341651134652,0.28605677677391234
35,-0.6932018752098907,1,2025-10-26T01:02:31.198873,2025-10-26T01:02:35.636704,False,2.5751834777990306,9.20294501642714,0.9787321968661304,5.024315264015337,1.6161126136941844,1.0273564234720367,0.8534658773695788,2.0990515419047413,0.5352707607358227,0.7147686881748302,0.2368140893440515
36,-1.4193785301497401,1,2025-10-26T01:02:35.639700,2025-10-26T01:02:39.587629,True,2.1954357212595847,35.0701731135376,0.6953798184283022,3.3676874179130216,2.544868389488238,0.7276516461383054,0.7828026229896211,1.6810144608959638,0.597686603065233,0.6763768675256981,0.5152235309584475
